plant_id,country,cement_type,process_type,capacity_tpd,commissioning_year,kiln_count,grinding_mills
GLOBAL_0044,Japan,CEM IV,Semi-dry,4264.759746795511,2002,3,3
GLOBAL_0045,Italy,CEM II,Dry,10843.472462766551,1991,1,1
GLOBAL_0046,Brazil,CEM IV,Dry,5065.898895267957,2000,2,1
GLOBAL_0047,China,CEM V,Dry,6382.4036663589695,2013,1,3
GLOBAL_0048,Germany,CEM V,Semi-dry,8605.943887286889,1995,1,2
GLOBAL_0049,Turkey,CEM V,Wet,16425.456356197217,2015,2,3
GLOBAL_0050,Russia,CEM I,Dry,1263.3805823443422,1996,3,3
GLOBAL_0051,India,CEM II,Dry,13338.197584495825,2008,4,4
GLOBAL_0052,USA,CEM I,Semi-dry,13708.654089773021,1995,4,1
GLOBAL_0053,Germany,CEM IV,Wet,16174.459826776094,2018,1,1
GLOBAL_0054,China,CEM I,Semi-dry,18722.30584214595,1991,3,5
GLOBAL_0055,Russia,CEM IV,Dry,1382.6191300365067,2008,4,6
GLOBAL_0056,Germany,CEM IV,Wet,3921.8904047511073,1993,3,3
GLOBAL_0057,China,CEM III,Wet,17837.254587063868,1995,2,3
GLOBAL_0058,Mexico,CEM V,Dry,9711.852681553291,2017,1,2
GLOBAL_0059,Mexico,CEM IV,Wet,11727.222139735806,2019,1,7
GLOBAL_0060,Italy,CEM III,Wet,13597.5168707398,1996,3,7
GLOBAL_0061,Germany,CEM V,Semi-dry,13902.26548541711,1998,4,1
GLOBAL_0062,Mexico,CEM IV,Dry,18703.067663013655,2014,3,2
GLOBAL_0063,China,CEM IV,Dry,19942.038930821724,2022,2,4
GLOBAL_0064,Italy,CEM I,Dry,14682.991757687865,1990,4,5
GLOBAL_0065,China,CEM I,Dry,6457.202974897866,1995,4,2
GLOBAL_0066,Italy,CEM V,Dry,17715.29564359253,2007,3,1
GLOBAL_0067,Germany,CEM IV,Wet,1935.1973762744706,1999,2,4
GLOBAL_0068,Russia,CEM II,Semi-dry,5390.536204615428,2017,4,3
GLOBAL_0069,Turkey,CEM I,Dry,18050.328631810582,2000,1,4
GLOBAL_0070,Japan,CEM V,Semi-dry,5867.638774347744,2022,2,6
GLOBAL_0071,Russia,CEM IV,Semi-dry,5192.370132813221,1990,4,2
GLOBAL_0072,Brazil,CEM IV,Wet,3624.3805696646978,2002,3,1
GLOBAL_0073,China,CEM II,Dry,17323.12339529141,2009,4,2
GLOBAL_0074,Brazil,CEM V,Wet,10501.106924630647,1990,1,3
GLOBAL_0075,Russia,CEM IV,Dry,13822.97085802894,1992,2,7
GLOBAL_0076,Italy,CEM I,Wet,5542.2612974255635,2007,4,3
GLOBAL_0077,Japan,CEM II,Semi-dry,15402.767999213112,2003,1,1
GLOBAL_0078,Japan,CEM V,Dry,15440.10535427987,2020,4,6
GLOBAL_0079,USA,CEM II,Semi-dry,6939.362473257703,2016,4,5
GLOBAL_0080,Japan,CEM I,Semi-dry,8802.970027195373,2006,2,4
GLOBAL_0081,Turkey,CEM V,Wet,4984.115271173816,2018,3,4
GLOBAL_0082,Japan,CEM II,Dry,19554.65944313518,2015,3,3
GLOBAL_0083,Russia,CEM III,Semi-dry,13266.44896410982,2006,1,2
GLOBAL_0084,USA,CEM I,Wet,18756.333733594794,2011,1,7
GLOBAL_0085,Russia,CEM I,Dry,6764.3253289535305,2014,1,2
GLOBAL_0086,Russia,CEM I,Dry,15855.927346940905,1991,2,6
GLOBAL_0087,India,CEM III,Semi-dry,15551.314233810099,2011,3,5
GLOBAL_0088,USA,CEM III,Dry,14141.45738546429,1994,1,2
GLOBAL_0089,Russia,CEM IV,Semi-dry,19347.14053006921,1993,1,4
GLOBAL_0090,India,CEM II,Dry,8477.551386019995,1995,4,7
GLOBAL_0091,India,CEM IV,Wet,3483.6291482053884,2010,4,2
GLOBAL_0092,USA,CEM II,Semi-dry,13762.468325637154,2002,1,7
GLOBAL_0093,Brazil,CEM III,Semi-dry,14856.886209066917,2014,4,5
GLOBAL_0094,Italy,CEM III,Dry,11926.15089571748,2015,4,4
GLOBAL_0095,Turkey,CEM IV,Dry,4929.5399695345295,2009,4,7
GLOBAL_0096,Italy,CEM V,Semi-dry,10584.662891717751,2022,2,2
GLOBAL_0097,Japan,CEM IV,Dry,6931.604994813459,2003,1,4
GLOBAL_0098,Turkey,CEM II,Wet,9121.864035167091,2006,1,3
GLOBAL_0099,Japan,CEM IV,Dry,13259.152941048615,2010,4,3
GLOBAL_0100,Russia,CEM I,Wet,15159.080111125857,2005,2,6
GLOBAL_0101,China,CEM II,Wet,5412.269127125519,2005,4,3
GLOBAL_0102,USA,CEM II,Wet,8701.181852292113,2009,2,2
GLOBAL_0103,Turkey,CEM V,Wet,6114.069848840954,2018,1,5
GLOBAL_0104,Turkey,CEM III,Wet,4774.000663375513,2017,4,4
GLOBAL_0105,Russia,CEM II,Dry,15884.35717992093,1997,1,7
GLOBAL_0106,Brazil,CEM III,Wet,18275.801194302854,2013,2,1
GLOBAL_0107,India,CEM IV,Dry,8034.411528006957,1992,3,3
GLOBAL_0108,Russia,CEM I,Wet,15274.299563101571,2014,2,3
GLOBAL_0109,Mexico,CEM V,Semi-dry,18042.91049792381,2008,3,1
GLOBAL_0110,India,CEM III,Wet,17076.360000074397,2022,1,7
GLOBAL_0111,USA,CEM II,Semi-dry,4473.454382245292,1991,1,7
GLOBAL_0112,India,CEM III,Wet,19169.545748753866,2004,4,1
GLOBAL_0113,Brazil,CEM II,Wet,8156.852368159787,2011,3,7
GLOBAL_0114,India,CEM III,Wet,7445.57256230289,1999,2,2
GLOBAL_0115,USA,CEM II,Semi-dry,2186.1952182778264,2007,1,7
GLOBAL_0116,Brazil,CEM IV,Semi-dry,10237.299427992777,2011,3,4
GLOBAL_0117,Italy,CEM II,Wet,3071.2586971776454,2016,2,7
GLOBAL_0118,Turkey,CEM II,Dry,5722.2565976210935,2002,3,3
GLOBAL_0119,Turkey,CEM I,Wet,7021.909813578346,2022,2,5
GLOBAL_0120,Japan,CEM II,Semi-dry,16367.700146341997,1994,2,2
GLOBAL_0121,Italy,CEM I,Wet,17634.284357522032,2015,2,2
GLOBAL_0122,Italy,CEM V,Semi-dry,6746.860031767924,2002,2,7
GLOBAL_0123,India,CEM I,Semi-dry,17315.2643036469,2016,3,5
GLOBAL_0124,Turkey,CEM IV,Semi-dry,17287.38781002603,2003,3,5
GLOBAL_0125,USA,CEM I,Wet,15528.368057312597,2013,4,6
GLOBAL_0126,Germany,CEM V,Semi-dry,3787.207166288449,1992,3,5
GLOBAL_0127,Germany,CEM IV,Semi-dry,14116.13409111385,2019,3,7
GLOBAL_0128,Brazil,CEM III,Wet,18955.457227030805,2003,4,7
GLOBAL_0129,Turkey,CEM III,Semi-dry,13968.269096575985,2001,3,1
GLOBAL_0130,Turkey,CEM I,Wet,7300.720133048845,2017,2,3
GLOBAL_0131,Germany,CEM I,Semi-dry,10511.007031185794,2018,1,6
GLOBAL_0132,Turkey,CEM V,Dry,13268.77582367002,2006,1,7
GLOBAL_0133,India,CEM V,Dry,10700.837765841568,2010,4,1
GLOBAL_0134,Mexico,CEM II,Semi-dry,3279.1058928884268,2012,3,6
GLOBAL_0135,China,CEM V,Dry,6929.2168483883925,2009,3,3
GLOBAL_0136,Italy,CEM II,Wet,16245.524580519017,2000,4,6
GLOBAL_0137,Japan,CEM IV,Dry,17366.94287581483,2023,1,1
GLOBAL_0138,Brazil,CEM I,Semi-dry,3608.7006215958345,1999,2,4
GLOBAL_0139,Mexico,CEM IV,Semi-dry,19095.348295575768,1999,3,7
GLOBAL_0140,Germany,CEM V,Wet,7247.629739123578,1995,4,3
GLOBAL_0141,Italy,CEM IV,Semi-dry,13583.96103588368,2013,2,2
GLOBAL_0142,Turkey,CEM IV,Wet,15284.677773176942,2001,4,3
GLOBAL_0143,Japan,CEM IV,Dry,16426.978458119786,2012,4,3
GLOBAL_0144,Turkey,CEM V,Dry,18969.244342292674,2016,4,3
GLOBAL_0145,USA,CEM IV,Wet,6945.471412547629,1995,1,4
GLOBAL_0146,USA,CEM II,Wet,17311.622636479537,1990,1,7
GLOBAL_0147,Japan,CEM V,Semi-dry,3502.0511652879336,1995,4,1
GLOBAL_0148,Japan,CEM IV,Dry,14395.777220718262,2011,3,7
GLOBAL_0149,Germany,CEM V,Wet,15097.576860765732,2013,2,2
GLOBAL_0150,Japan,CEM III,Dry,13876.741582825089,2014,3,1
GLOBAL_0151,India,CEM II,Wet,5793.979986567907,2004,1,6
GLOBAL_0152,Turkey,CEM IV,Dry,17587.819793288865,2015,2,6
GLOBAL_0153,Mexico,CEM III,Semi-dry,4208.310804037505,1997,4,6
GLOBAL_0154,Russia,CEM III,Dry,2019.061038895786,2013,3,1
GLOBAL_0155,Japan,CEM V,Dry,14631.834821626331,1995,3,5
GLOBAL_0156,Brazil,CEM III,Dry,10034.03858942194,1990,4,4
GLOBAL_0157,USA,CEM II,Dry,17132.862379214843,2001,3,5
GLOBAL_0158,India,CEM II,Dry,8284.54568010692,2000,1,7
GLOBAL_0159,Italy,CEM I,Semi-dry,4197.293181646543,2001,4,6
GLOBAL_0160,Russia,CEM II,Wet,16892.401656927526,1996,3,4
GLOBAL_0161,Mexico,CEM III,Dry,11429.283001161362,2000,4,1
GLOBAL_0162,Russia,CEM II,Semi-dry,4594.720055416743,2020,2,6
GLOBAL_0163,Japan,CEM V,Dry,14687.295973142469,2022,4,1
GLOBAL_0164,Germany,CEM I,Dry,10711.15913130051,2002,3,4
GLOBAL_0165,USA,CEM III,Wet,12481.946662566077,2007,1,1
GLOBAL_0166,USA,CEM I,Dry,9757.068425925056,2013,4,1
GLOBAL_0167,Italy,CEM III,Semi-dry,16745.47069254212,1998,4,2
GLOBAL_0168,Germany,CEM V,Semi-dry,16761.691597977948,2020,3,7
GLOBAL_0169,Turkey,CEM I,Wet,14478.387614663337,1999,1,5
GLOBAL_0170,China,CEM IV,Dry,3002.6261705327834,1991,1,5
GLOBAL_0171,India,CEM III,Semi-dry,16938.22337617731,2004,2,5
GLOBAL_0172,USA,CEM IV,Dry,13749.246630125286,1992,2,3
GLOBAL_0173,Brazil,CEM I,Dry,14243.459154081691,2020,3,2
GLOBAL_0174,USA,CEM IV,Dry,7896.673967673561,1995,1,6
GLOBAL_0175,Russia,CEM IV,Wet,17706.311566983128,1992,1,6
GLOBAL_0176,USA,CEM I,Dry,14782.060404462292,2000,2,6
GLOBAL_0177,USA,CEM V,Semi-dry,3139.2188640546947,2004,2,5
GLOBAL_0178,China,CEM IV,Dry,8747.782653717091,2017,3,7
GLOBAL_0179,China,CEM IV,Semi-dry,17841.22687724269,1999,1,5
GLOBAL_0180,Mexico,CEM V,Dry,1896.7373322502008,1996,4,7
GLOBAL_0181,Turkey,CEM IV,Semi-dry,19266.91577319894,2004,2,2
GLOBAL_0182,Brazil,CEM IV,Semi-dry,13904.088798071693,2007,3,7
GLOBAL_0183,USA,CEM IV,Dry,12996.143575224156,2007,1,1
GLOBAL_0184,USA,CEM II,Dry,6140.625873271836,2013,1,5
GLOBAL_0185,India,CEM V,Semi-dry,5727.043986044364,1991,2,6
GLOBAL_0186,China,CEM IV,Wet,18899.106170283314,2009,3,1
GLOBAL_0187,Brazil,CEM V,Dry,6667.176630448332,2023,4,5
GLOBAL_0188,Italy,CEM III,Wet,15734.600637660988,2015,2,4
GLOBAL_0189,Mexico,CEM III,Dry,8469.314165934504,1996,3,3
GLOBAL_0190,Turkey,CEM IV,Dry,3645.8273449093754,2019,1,5
GLOBAL_0191,Germany,CEM V,Dry,1203.59065621182,1994,4,4
GLOBAL_0192,Turkey,CEM V,Dry,11340.889403289766,2000,3,2
GLOBAL_0193,Russia,CEM V,Wet,19539.79755242972,1990,4,4
GLOBAL_0194,USA,CEM II,Dry,8013.587682374885,2023,3,2
GLOBAL_0195,Mexico,CEM III,Semi-dry,7786.654345867852,1990,3,5
GLOBAL_0196,Russia,CEM V,Semi-dry,7537.7407391394,2008,3,2
GLOBAL_0197,Brazil,CEM V,Wet,10890.33290879231,1991,3,4
GLOBAL_0198,Germany,CEM II,Dry,9372.632785061578,2010,4,7
GLOBAL_0199,China,CEM II,Semi-dry,17718.377907813276,2009,2,3
GLOBAL_0200,Mexico,CEM V,Wet,10604.895042746315,2012,4,1
GLOBAL_0201,Mexico,CEM I,Dry,10647.398925582807,2010,3,1
GLOBAL_0202,USA,CEM V,Semi-dry,3629.0602996905754,2013,4,3
GLOBAL_0203,Japan,CEM V,Semi-dry,19672.051277297334,1993,4,6
GLOBAL_0204,Mexico,CEM II,Wet,5749.484926507764,2001,4,1
GLOBAL_0205,India,CEM II,Dry,2393.9172817324506,2011,3,5
GLOBAL_0206,Germany,CEM V,Dry,13599.778730528968,2009,4,6
GLOBAL_0207,Germany,CEM V,Semi-dry,12311.96103298058,2007,1,5
GLOBAL_0208,India,CEM V,Semi-dry,8887.76742586217,1990,3,4
GLOBAL_0209,Italy,CEM II,Semi-dry,9021.652443732884,2019,4,4
GLOBAL_0210,India,CEM V,Dry,15916.214499882193,2022,1,6
GLOBAL_0211,India,CEM V,Wet,4718.540161893332,2013,4,6
GLOBAL_0212,Germany,CEM IV,Wet,16584.813059952903,2003,2,6
GLOBAL_0213,Turkey,CEM I,Dry,13326.195164005345,1994,4,6
GLOBAL_0214,Germany,CEM III,Wet,8960.425701810964,2000,4,2
GLOBAL_0215,Japan,CEM I,Semi-dry,9702.543715093503,2013,2,7
GLOBAL_0216,USA,CEM IV,Wet,5876.29693653582,2020,3,6
GLOBAL_0217,Russia,CEM III,Wet,15290.172321242522,2002,2,7
GLOBAL_0218,Turkey,CEM V,Wet,10744.620103800087,2005,3,6
GLOBAL_0219,China,CEM IV,Semi-dry,7096.236312247029,2013,2,4
GLOBAL_0220,Russia,CEM V,Dry,12324.952199458054,2002,4,5
GLOBAL_0221,USA,CEM II,Semi-dry,19918.95458897514,2013,4,7
GLOBAL_0222,Japan,CEM IV,Dry,9269.983313474522,2015,3,4
GLOBAL_0223,Japan,CEM II,Dry,18493.13661479377,1991,3,1
GLOBAL_0224,China,CEM IV,Dry,7555.319958566756,2005,1,2
GLOBAL_0225,Turkey,CEM IV,Wet,2039.9214315747317,1990,1,2
GLOBAL_0226,Italy,CEM II,Wet,4880.600021000148,2000,4,5
GLOBAL_0227,India,CEM III,Dry,8955.207723226,2018,4,6
GLOBAL_0228,Turkey,CEM I,Dry,5173.063643296811,2006,1,4
GLOBAL_0229,Italy,CEM V,Wet,1004.3137261468552,2017,1,1
GLOBAL_0230,Japan,CEM IV,Semi-dry,18385.029217203017,2018,3,4
GLOBAL_0231,Germany,CEM V,Dry,17033.708813387653,1992,2,6
GLOBAL_0232,USA,CEM II,Semi-dry,15103.552398251995,1999,3,6
GLOBAL_0233,China,CEM V,Wet,4188.4773172745445,2003,1,3
GLOBAL_0234,USA,CEM II,Dry,3286.907947989735,2001,4,4
GLOBAL_0235,Brazil,CEM V,Semi-dry,2284.49023997528,2019,1,5
GLOBAL_0236,Brazil,CEM I,Semi-dry,14756.554586685503,2021,4,4
GLOBAL_0237,Turkey,CEM I,Semi-dry,18647.35125306982,2021,4,2
GLOBAL_0238,Japan,CEM I,Wet,9180.180597347702,2021,4,1
GLOBAL_0239,Japan,CEM I,Wet,3263.672767924915,2015,4,7
GLOBAL_0240,India,CEM I,Semi-dry,10735.463593910024,1990,2,5
GLOBAL_0241,India,CEM I,Semi-dry,7627.806241713973,1991,1,3
GLOBAL_0242,India,CEM II,Wet,8121.673562649957,2006,3,1
GLOBAL_0243,Germany,CEM IV,Semi-dry,12805.281858958439,2019,4,1
GLOBAL_0244,Russia,CEM V,Semi-dry,14655.644151981845,1996,4,7
GLOBAL_0245,Mexico,CEM I,Wet,3101.468378590056,2016,3,2
GLOBAL_0246,Russia,CEM II,Semi-dry,1676.2143853230514,1998,3,2
GLOBAL_0247,USA,CEM II,Semi-dry,19892.27575102858,2011,4,2
GLOBAL_0248,Russia,CEM II,Semi-dry,5421.8386293954845,2023,3,5
GLOBAL_0249,Germany,CEM IV,Wet,2022.7799732607225,1990,3,4
GLOBAL_0250,USA,CEM V,Semi-dry,4607.631252822479,1998,2,1
GLOBAL_0251,Russia,CEM IV,Wet,1740.19908062082,2009,3,4
GLOBAL_0252,Germany,CEM III,Wet,8444.406997726262,2008,1,4
GLOBAL_0253,Mexico,CEM II,Dry,16245.633904575161,1993,1,2
GLOBAL_0254,Russia,CEM III,Dry,7483.644545396692,1998,1,4
GLOBAL_0255,Germany,CEM I,Semi-dry,9439.484730688964,2011,4,1
GLOBAL_0256,India,CEM I,Wet,13836.148697781337,2007,1,1
GLOBAL_0257,Japan,CEM IV,Dry,10668.987331327724,2001,2,6
GLOBAL_0258,India,CEM V,Semi-dry,17367.46803440516,1998,1,3
GLOBAL_0259,Japan,CEM III,Dry,17454.677825869374,1995,4,5
GLOBAL_0260,China,CEM V,Dry,1188.3032143319192,2008,2,4
GLOBAL_0261,China,CEM IV,Wet,15782.879823180785,1996,1,5
GLOBAL_0262,China,CEM I,Wet,9753.938404591803,2005,2,5
GLOBAL_0263,Mexico,CEM V,Dry,19787.9702847696,1994,2,5
GLOBAL_0264,India,CEM V,Dry,10181.409441633268,2005,4,7
GLOBAL_0265,Japan,CEM I,Wet,19751.022962377654,1990,4,6
GLOBAL_0266,Germany,CEM III,Semi-dry,15336.817862908994,2008,2,5
GLOBAL_0267,USA,CEM I,Wet,5723.49280765282,2006,1,6
GLOBAL_0268,Germany,CEM V,Dry,11229.504606452196,2015,4,1
GLOBAL_0269,USA,CEM III,Semi-dry,19850.57715009307,2011,2,7
GLOBAL_0270,Brazil,CEM III,Dry,17293.08154728655,1997,3,4
GLOBAL_0271,Germany,CEM I,Semi-dry,2849.970982033201,2022,3,6
GLOBAL_0272,Russia,CEM V,Dry,14421.067939389925,1991,4,3
GLOBAL_0273,Russia,CEM IV,Semi-dry,7566.012131545448,2019,1,5
GLOBAL_0274,Turkey,CEM V,Semi-dry,1132.6629757266141,2009,3,7
GLOBAL_0275,India,CEM II,Dry,8666.138411512991,2007,3,3
GLOBAL_0276,USA,CEM IV,Semi-dry,5460.334012774455,1999,3,1
GLOBAL_0277,USA,CEM III,Wet,16558.51613988896,2013,1,1
GLOBAL_0278,India,CEM IV,Dry,7409.281568069544,1993,1,2
GLOBAL_0279,Mexico,CEM III,Wet,16722.950185122525,1993,4,5
GLOBAL_0280,Turkey,CEM III,Dry,1011.3608378611109,2002,4,2
GLOBAL_0281,Mexico,CEM IV,Semi-dry,6848.5638504962635,2014,3,7
GLOBAL_0282,Mexico,CEM III,Semi-dry,5582.139071847477,2002,1,3
GLOBAL_0283,Mexico,CEM III,Semi-dry,5437.779860303609,2007,2,4
GLOBAL_0284,India,CEM II,Dry,2295.545775543791,2013,3,2
GLOBAL_0285,Mexico,CEM V,Wet,4555.361137799533,1991,4,1
GLOBAL_0286,Russia,CEM V,Wet,11555.441827826779,2022,1,5
GLOBAL_0287,China,CEM II,Dry,6535.860383917146,2008,4,3
GLOBAL_0288,Brazil,CEM IV,Dry,8930.500864253812,1998,4,6
GLOBAL_0289,USA,CEM I,Wet,8160.470726596582,2017,1,7
GLOBAL_0290,USA,CEM I,Wet,17642.193574997997,1999,3,7
GLOBAL_0291,Brazil,CEM I,Wet,18200.680981199795,1990,1,1
GLOBAL_0292,India,CEM II,Wet,10366.182461461342,2010,3,6
GLOBAL_0293,Germany,CEM II,Dry,7272.9630559964835,1998,4,7
GLOBAL_0294,India,CEM III,Dry,3029.2133760449087,2004,1,4
GLOBAL_0295,USA,CEM I,Semi-dry,19114.654708259804,1994,2,5
GLOBAL_0296,USA,CEM IV,Wet,2144.311953105652,2011,3,4
GLOBAL_0297,Brazil,CEM IV,Semi-dry,6655.355273797329,2012,2,7
GLOBAL_0298,Mexico,CEM I,Dry,6663.257822230079,1996,3,4
GLOBAL_0299,India,CEM I,Dry,7087.624436664083,2012,1,7
GLOBAL_0300,Japan,CEM I,Semi-dry,4121.450022175776,2014,2,5
GLOBAL_0301,Brazil,CEM II,Wet,15880.067187550247,2016,1,5
GLOBAL_0302,Russia,CEM II,Wet,3327.459377353795,1995,3,6
GLOBAL_0303,USA,CEM II,Wet,13063.226523910093,2023,3,4
GLOBAL_0304,Brazil,CEM V,Wet,3353.0745074105316,1998,3,3
GLOBAL_0305,India,CEM IV,Semi-dry,2340.1771142661746,2022,3,6
GLOBAL_0306,USA,CEM IV,Semi-dry,18279.160570031654,1995,4,5
GLOBAL_0307,Germany,CEM III,Dry,4612.446560055409,2020,3,1
GLOBAL_0308,Brazil,CEM II,Wet,16603.75293663438,2023,2,7
GLOBAL_0309,Turkey,CEM V,Wet,11347.986551035581,2018,3,6
GLOBAL_0310,USA,CEM V,Wet,2479.2738725666222,2003,1,2
GLOBAL_0311,India,CEM IV,Semi-dry,19153.515637323282,2004,4,3
GLOBAL_0312,China,CEM II,Wet,5692.262172845958,1997,2,7
GLOBAL_0313,Japan,CEM III,Semi-dry,17333.261561699524,2015,4,6
GLOBAL_0314,Italy,CEM II,Wet,4207.390109906719,2010,4,5
GLOBAL_0315,Mexico,CEM I,Wet,17224.914760695203,2017,4,5
GLOBAL_0316,Italy,CEM II,Dry,1251.3474452005858,1993,1,3
GLOBAL_0317,India,CEM I,Wet,10723.828674820134,2005,4,2
GLOBAL_0318,Russia,CEM I,Wet,15619.40900900958,2011,4,6
GLOBAL_0319,Russia,CEM III,Dry,18761.114832362884,2001,3,6
GLOBAL_0320,China,CEM IV,Semi-dry,18274.840587923252,2005,1,4
GLOBAL_0321,Mexico,CEM II,Semi-dry,16572.872521405254,2018,2,1
GLOBAL_0322,Turkey,CEM I,Wet,17875.635643564776,2007,2,5
GLOBAL_0323,China,CEM II,Semi-dry,4785.1740309044535,1999,2,6
GLOBAL_0324,Italy,CEM IV,Wet,6399.501618522847,2007,1,6
GLOBAL_0325,China,CEM IV,Dry,6490.401973500112,1990,2,7
GLOBAL_0326,Italy,CEM V,Dry,8164.024689032278,2010,1,7
GLOBAL_0327,USA,CEM IV,Wet,8473.092737318584,1990,3,6
GLOBAL_0328,Russia,CEM III,Dry,11346.551168438835,2004,3,2
GLOBAL_0329,USA,CEM I,Dry,4037.7155039623863,1993,1,1
GLOBAL_0330,Japan,CEM V,Wet,14133.686611933797,2009,2,6
GLOBAL_0331,Mexico,CEM III,Wet,4183.764246785624,1999,1,3
GLOBAL_0332,Turkey,CEM II,Dry,6895.861159986403,2012,1,5
GLOBAL_0333,Italy,CEM I,Semi-dry,10563.557481516928,2023,4,4
GLOBAL_0334,Turkey,CEM IV,Semi-dry,16132.370668946069,2022,1,7
GLOBAL_0335,Italy,CEM I,Wet,15049.915431535817,2023,4,3
GLOBAL_0336,India,CEM II,Wet,13265.152771799923,1999,3,5
GLOBAL_0337,China,CEM V,Semi-dry,3959.691951023233,2009,4,7
GLOBAL_0338,Japan,CEM V,Dry,11393.861566695976,1990,1,2
GLOBAL_0339,Russia,CEM V,Semi-dry,2661.4835341978232,2002,3,7
GLOBAL_0340,Italy,CEM IV,Semi-dry,8169.900359136364,1990,4,1
GLOBAL_0341,Turkey,CEM III,Semi-dry,8856.814075509224,1994,1,1
GLOBAL_0342,Japan,CEM III,Semi-dry,1756.4173494693227,2005,3,5
GLOBAL_0343,Germany,CEM I,Wet,6205.7738899294645,2004,4,3
GLOBAL_0344,Germany,CEM IV,Wet,19157.339878063296,2017,1,4
GLOBAL_0345,USA,CEM V,Dry,19119.0195487641,2020,1,2
GLOBAL_0346,Russia,CEM V,Dry,7694.214030798246,2012,2,5
GLOBAL_0347,India,CEM II,Dry,1818.902070018157,2006,2,2
GLOBAL_0348,Turkey,CEM II,Dry,4402.803847235449,2023,4,1
GLOBAL_0349,China,CEM V,Semi-dry,8452.138075237262,2002,4,6
GLOBAL_0350,China,CEM V,Wet,19007.814261415366,2003,4,6
GLOBAL_0351,Turkey,CEM IV,Wet,3682.7822072065137,2000,1,4
GLOBAL_0352,Mexico,CEM III,Dry,15506.801029696033,2017,4,2
GLOBAL_0353,India,CEM II,Dry,3064.9682481191494,2021,1,5
GLOBAL_0354,Japan,CEM III,Semi-dry,19643.89397043426,2020,4,4
GLOBAL_0355,Italy,CEM IV,Semi-dry,8250.713483073565,2006,1,7
